Láda típusa;BE/KI;Hossz;Szélesség;Magasság;Láda Tára súlya (g);Láda színe;AKL száma;darabszám a rendszerben;Megjegyzések
EG 64/17 AUER;BE;600;400;170;1510;RAL 7001 (szürke);AKL1;2816;
EG 64/27 AUER;BE;600;400;270;2170;RAL 7001 (szürke);AKL1;384;
VDA R-KLT 6422;BE;600;400;220;2600;Schaefer kék;AKL2;3848;
VDA R-KLT 6429;BE;600;400;270;2970;Schaefer kék;AKL2;3096;
LF211;KI;160;100;75;100;Schaefer kék;AKL1;28;
LF221;KI;230;150;122;276;Schaefer kék;AKL1;134;
LF321;KI;350;200;145;552;Schaefer kék;AKL1;118;
LF322;KI;350;220;200;756;Schaefer kék;AKL1;140;
LF511;KI;500;160;145;744;Schaefer kék;AKL1;4;
LF532;KI;500;320;200;1544;Schaefer kék;AKL1;40;
EK6022L;KI;555;180;150;740;Schaefer kék;AKL1;10;
EF4120;KI;400;300;120;1159;Schaefer kék;AKL1;72;
